id,kind,entity_id,display_name,image_key,seasons,original_path,original_width,original_height,processed_path,processed_width,processed_height,photo_type,confidence,derivative_method,needs_resourcing,visual_review_status,rights_review_status,source_url,photo_note
player:matt-heissenbuttel,player,matt-heissenbuttel,Matt Heissenbuttel,uk_matt_heissenbuttel,2000-01|2001-02|2002-03|2003-04,/images/players/original/uk_matt_heissenbuttel.webp,420,560,/images/players/processed/uk_matt_heissenbuttel.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:michael-bradley,player,michael-bradley,Michael Bradley,uk_michael_bradley,1997-98|1998-99,/images/players/original/uk_michael_bradley.webp,420,560,/images/players/processed/uk_michael_bradley.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:michael-porter,player,michael-porter,Michael Porter,uk_michael_porter,2006-07,/images/players/original/uk_michael_porter.webp,420,560,/images/players/processed/uk_michael_porter.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:myron-anthony,player,myron-anthony,Myron Anthony,uk_myron_anthony,1997-98|1998-99,/images/players/original/uk_myron_anthony.webp,420,560,/images/players/processed/uk_myron_anthony.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:nate-knight,player,nate-knight,Nate Knight,uk_nate_knight,1999-00,/images/players/original/uk_nate_knight.webp,420,560,/images/players/processed/uk_nate_knight.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:nazr-mohammed,player,nazr-mohammed,Nazr Mohammed,uk_nazr_mohammed,1997-98,/images/players/original/uk_nazr_mohammed.webp,420,560,/images/players/processed/uk_nazr_mohammed.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:patrick-sparks,player,patrick-sparks,Patrick Sparks,uk_patrick_sparks,2003-04|2004-05|2005-06,/images/players/original/uk_patrick_sparks.webp,420,560,/images/players/processed/uk_patrick_sparks.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:perry-stevenson,player,perry-stevenson,Perry Stevenson,uk_perry_stevenson,2006-07,/images/players/original/uk_perry_stevenson.webp,420,560,/images/players/processed/uk_perry_stevenson.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:preston-lemaster,player,preston-lemaster,Preston LeMaster,uk_preston_lemaster,2002-03|2003-04|2004-05|2005-06,/images/players/original/uk_preston_lemaster.webp,420,560,/images/players/processed/uk_preston_lemaster.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:rajon-rondo,player,rajon-rondo,Rajon Rondo,uk_rajon_rondo,2004-05|2005-06,/images/players/original/uk_rajon_rondo.webp,420,560,/images/players/processed/uk_rajon_rondo.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:ramel-bradley,player,ramel-bradley,Ramel Bradley,uk_ramel_bradley,2004-05|2005-06|2006-07,/images/players/original/uk_ramel_bradley.webp,420,560,/images/players/processed/uk_ramel_bradley.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:ramon-harris,player,ramon-harris,Ramon Harris,uk_ramon_harris,2006-07,/images/players/original/uk_ramon_harris.webp,420,560,/images/players/processed/uk_ramon_harris.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:randolph-morris,player,randolph-morris,Randolph Morris,uk_randolph_morris,2004-05|2005-06|2006-07,/images/players/original/uk_randolph_morris.webp,420,560,/images/players/processed/uk_randolph_morris.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:rashaad-carruth,player,rashaad-carruth,Rashaad Carruth,uk_rashaad_carruth,2001-02,/images/players/original/uk_rashaad_carruth.webp,420,560,/images/players/processed/uk_rashaad_carruth.webp,1260,1680,enhanced-team-photo-portrait,verified-source-derived-portrait,AI-assisted reconstruction from official team-photo crop; replace when a true headshot is found,True,required,required-before-publication,,Enhanced Kentucky-uniform portrait rebuilt from the official team photograph.
player:ravi-moss,player,ravi-moss,Ravi Moss,uk_ravi_moss,2002-03|2003-04|2004-05|2005-06,/images/players/original/uk_ravi_moss.webp,420,560,/images/players/processed/uk_ravi_moss.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:rekalin-sims,player,rekalin-sims,Rekalin Sims,uk_rekalin_sims,2005-06,/images/players/original/uk_rekalin_sims.webp,420,560,/images/players/processed/uk_rekalin_sims.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:ryan-hogan,player,ryan-hogan,Ryan Hogan,uk_ryan_hogan,1997-98|1998-99,/images/players/original/uk_ryan_hogan.webp,420,560,/images/players/processed/uk_ryan_hogan.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:saul-smith,player,saul-smith,Saul Smith,uk_saul_smith,1997-98|1998-99|1999-00|2000-01,/images/players/original/uk_saul_smith.webp,420,560,/images/players/processed/uk_saul_smith.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:scott-padgett,player,scott-padgett,Scott Padgett,uk_scott_padgett,1997-98|1998-99,/images/players/original/uk_scott_padgett.webp,420,560,/images/players/processed/uk_scott_padgett.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:shagari-alleyne,player,shagari-alleyne,Shagari Alleyne,uk_shagari_alleyne,2003-04|2004-05|2005-06,/images/players/original/uk_shagari_alleyne.webp,420,560,/images/players/processed/uk_shagari_alleyne.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:sheray-thomas,player,sheray-thomas,Sheray Thomas,uk_sheray_thomas,2003-04|2004-05|2005-06|2006-07,/images/players/original/uk_sheray_thomas.webp,420,560,/images/players/processed/uk_sheray_thomas.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:steve-masiello,player,steve-masiello,Steve Masiello,uk_steve_masiello,1997-98|1998-99|1999-00,/images/players/original/uk_steve_masiello.webp,420,560,/images/players/processed/uk_steve_masiello.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:tayshaun-prince,player,tayshaun-prince,Tayshaun Prince,uk_tayshaun_prince,1998-99|1999-00|2000-01|2001-02,/images/players/original/uk_tayshaun_prince.webp,420,560,/images/players/processed/uk_tayshaun_prince.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:todd-tackett,player,todd-tackett,Todd Tackett,uk_todd_tackett,1998-99|1999-00|2000-01,/images/players/original/uk_todd_tackett.webp,420,560,/images/players/processed/uk_todd_tackett.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
player:wayne-turner,player,wayne-turner,Wayne Turner,uk_wayne_turner,1997-98|1998-99,/images/players/original/uk_wayne_turner.webp,420,560,/images/players/processed/uk_wayne_turner.webp,1260,1680,archival-kentucky-portrait,verified-archival,upscaled-and-color-corrected,True,required,required-before-publication,,Upscaled Kentucky-uniform archival headshot.
team:1997-98,team,1997-98,1997-98 Kentucky Wildcats team,team_1997_98,1997-98,/images/teams/original/team_1997_98.webp,978,767,/images/teams/processed/team_1997_98.webp,2200,1725,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 1997-98 roster are derived from this image.
team:1998-99,team,1998-99,1998-99 Kentucky Wildcats team,team_1998_99,1998-99,/images/teams/original/team_1998_99.webp,878,383,/images/teams/processed/team_1998_99.webp,2200,959,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 1998-99 roster are derived from this image.
team:1999-00,team,1999-00,1999-00 Kentucky Wildcats team,team_1999_00,1999-00,/images/teams/original/team_1999_00.webp,528,305,/images/teams/processed/team_1999_00.webp,1584,915,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 1999-00 roster are derived from this image.
team:2000-01,team,2000-01,2000-01 Kentucky Wildcats team,team_2000_01,2000-01,/images/teams/original/team_2000_01.webp,978,623,/images/teams/processed/team_2000_01.webp,2200,1401,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2000-01 roster are derived from this image.
team:2001-02,team,2001-02,2001-02 Kentucky Wildcats team,team_2001_02,2001-02,/images/teams/original/team_2001_02.webp,978,647,/images/teams/processed/team_2001_02.webp,2200,1455,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2001-02 roster are derived from this image.
team:2002-03,team,2002-03,2002-03 Kentucky Wildcats team,team_2002_03,2002-03,/images/teams/original/team_2002_03.webp,978,659,/images/teams/processed/team_2002_03.webp,2200,1482,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2002-03 roster are derived from this image.
team:2003-04,team,2003-04,2003-04 Kentucky Wildcats team,team_2003_04,2003-04,/images/teams/original/team_2003_04.webp,978,607,/images/teams/processed/team_2003_04.webp,2200,1365,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2003-04 roster are derived from this image.
team:2004-05,team,2004-05,2004-05 Kentucky Wildcats team,team_2004_05,2004-05,/images/teams/original/team_2004_05.webp,1002,626,/images/teams/processed/team_2004_05.webp,2200,1374,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2004-05 roster are derived from this image.
team:2005-06,team,2005-06,2005-06 Kentucky Wildcats team,team_2005_06,2005-06,/images/teams/original/team_2005_06.webp,1002,634,/images/teams/processed/team_2005_06.webp,2200,1392,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2005-06 roster are derived from this image.
team:2006-07,team,2006-07,2006-07 Kentucky Wildcats team,team_2006_07,2006-07,/images/teams/original/team_2006_07.webp,1500,993,/images/teams/processed/team_2006_07.webp,2550,1688,official-team-photo,verified-official-team-photo,upscaled-and-color-corrected,True,required,required-before-publication,https://ukathletics.com/sports/2017/6/22/mens-basketball-media-guides.aspx,Kentucky media-guide team photograph. Verified UK-uniform profile crops for the 2006-07 roster are derived from this image.
interface:rupp_arena,interface,rupp_arena,Rupp Arena view from Triangle Park,rupp_arena,,/images/interface/original/rupp_arena.jpg,1200,800,/images/interface/processed/rupp_arena.webp,1800,1200,interface-archival,verified-archival,upscaled-and-color-corrected,False,required,required-before-publication,https://commons.wikimedia.org/wiki/File:Rupp_Arena_view_from_Triangle_Park.jpg,Wikimedia Commons archival image.
interface:tubby_smith,interface,tubby_smith,Tubby Smith (2014),tubby_smith,,/images/interface/original/tubby_smith.jpg,1095,1200,/images/interface/processed/tubby_smith.webp,1642,1800,interface-archival,verified-archival,upscaled-and-color-corrected,False,required,required-before-publication,https://commons.wikimedia.org/wiki/File:Tubby_Smith_140507-D-HU462-310_(cropped).jpg,Wikimedia Commons archival portrait.
